property_id,bedrooms,price1,price2
123039336,1,148000.0,244900.0
302000375,3,169100.0,250000.0
486000085,4,866800.0,
526059224,4,260000.0,470000.0
629800660,4,1675000.0,
643300040,4,481000.0,719521.0
722039087,2,220500.0,329000.0
726049190,3,287500.0,431000.0
937000330,3,157000.0,246500.0
1026069095,3,839000.0,
1036400200,4,661000.0,697000.0
1231000510,3,263000.0,510000.0
1254200015,3,405000.0,625000.0
1432400120,3,165000.0,255000.0
1446403850,2,118125.0,212000.0
1450100390,3,125000.0,208000.0
1473120390,4,439000.0,
1523049207,4,161000.0,220000.0
1568100300,6,350000.0,682500.0
1723059050,2,290300.0,
1788800630,3,96500.0,185000.0
1972202010,3,435000.0,
1974300020,4,380000.0,624900.0
1995200200,3,313950.0,415000.0
2019200220,3,160000.0,269000.0
2023049218,2,105500.0,445000.0
2143700830,4,207000.0,370000.0
2231500030,4,315000.0,530000.0
2310010270,3,280500.0,
2473380920,5,206325.0,339000.0
2561340020,3,325000.0,500000.0
2570500090,5,385000.0,
2767602141,3,525000.0,650000.0
2767603612,2,500000.0,489000.0
2806300070,5,975000.0,
2851200100,4,955500.0,
2892700041,3,168000.0,238000.0
2926049376,2,220000.0,
3271300955,4,554729.0,868000.0
3323059027,3,326000.0,340000.0
3332000615,3,310000.0,389000.0
3432501415,3,265000.0,399000.0
3523069060,3,290000.0,415000.0
3528000040,3,1690000.0,1800000.0
3558900590,6,360000.0,692500.0
3578401060,3,345000.0,625000.0
3630120700,3,757000.0,765000.0
3739500096,3,229000.0,430000.0
3760500222,3,830000.0,
3864000120,4,1175000.0,
3883800011,3,82000.0,219900.0
3904921070,4,590000.0,
3935900232,3,207000.0,237000.0
4006000251,3,226000.0,
4031000520,1,115000.0,227000.0
4037000635,4,485000.0,
4139480200,4,1384000.0,1400000.0
4154300296,3,235000.0,545000.0
4202400078,2,175000.0,335000.0
4222310010,4,152500.0,267950.0
4364700600,3,216000.0,390000.0
4435000705,3,160000.0,255500.0
5083000375,3,170000.0,235000.0
5101405604,1,350000.0,395000.0
5282200015,5,525000.0,840000.0
5332200530,5,910000.0,1015000.0
5536100020,3,987000.0,1190000.0
6021501535,3,430000.0,700000.0
6117501820,2,250275.0,435000.0
6141100320,2,245000.0,570000.0
6143000020,3,175000.0,299000.0
6308000010,3,585000.0,585000.0
6381500170,2,235000.0,365000.0
6623400187,4,185000.0,365000.0
6632900574,5,367500.0,595000.0
6710100131,3,981000.0,
6791200120,3,480000.0,515000.0
7227800055,4,199500.0,247000.0
7228500425,3,590000.0,
7230400400,3,240000.0,415500.0
7387500235,3,340000.0,363000.0
7856400300,2,1411600.0,1505000.0
7888000390,3,140000.0,235000.0
7961500010,3,245000.0,520000.0
7972000010,3,120750.0,195000.0
7983000200,3,169575.0,250000.0
8103000110,2,280000.0,490000.0
8121100395,4,425000.0,645000.0
8129700644,3,715000.0,780000.0
8161020060,4,443500.0,471000.0
8564860270,4,449990.0,502000.0
8645530010,3,225000.0,295000.0
8651402750,3,132825.0,219950.0
8732040810,4,235000.0,
9222400605,5,842500.0,850000.0
9238500040,3,400000.0,599000.0
9809000020,5,1895000.0,1940000.0
9818700430,3,421500.0,
9828200460,2,260000.0,430000.0
9834200885,4,360000.0,550000.0
